TARGETID,Redrock_z,VI_Z,VI_QUALITY,Redrock_spectype,VI_CLASS,all_VI_issues,all_VI_comments,merger_comment,N_VI,HPXPIXEL,SURVEY,PROGRAM,TSNR2_LYA,TSNR2_QSO,DELTACHI2,ZWARN,ZERR,TARGET_RA,TARGET_DEC,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,EBV,TILEID
2350956255641601,2.1069,2.107,4.0,QSO,QSO,,,none,3,9998,main,dark,61.21461868286133,27.519699096679688,,,,,,,,,,,,,,
39627513722308253,2.0732,2.0724,4.0,QSO,QSO,,,none,3,49040,main,dark,91.3409652709961,27.791500091552734,,,,,,,,,,,,,,
39627513722310958,2.0996,2.0929333333333333,3.333333333333333,QSO,QSO,R,,none,3,49040,main,dark,86.6578140258789,27.207006454467773,,,,,,,,,,,,,,
39627555313025598,0.7289,2.1289,3.0,GALAXY,QSO,CR,,None,3,49050,main,dark,65.3983383178711,32.01423645019531,,,,,,,,,,,,,,
39627577379259961,0.6768,0.6768,0.0,GALAXY,GALAXY,S,,none,3,25794,main,dark,110.82170867919922,38.332828521728516,,,,,,,,,,,,,,
39627577387647517,0.677,0.677,1.0,GALAXY,GALAXY,S,,Strong bad spectral feature at 8200-8500 ang - but even when rescale cannot see any strong features,3,25792,main,dark,114.92500305175781,38.50025939941406,,,,,,,,,,,,,,
39627583255478890,2.0577,2.0564,4.0,QSO,QSO,,Broad absorption line quasar (BAL) LAE,None,3,25778,main,dark,108.78671264648438,33.49168014526367,,,,,,,,,,,,,,
39627583490363785,2.1099,2.1073,3.0,QSO,QSO,,,None,2,25694,main,dark,69.41912078857422,28.611677169799805,,,,,,,,,,,,,,
39627583549081432,2.0791,2.0777,3.6666666666666665,QSO,QSO,,,none,3,25858,main,dark,45.70768356323242,23.869583129882812,,,,,,,,,,,,,,
39627583557469645,2.0806,2.0808,4.0,QSO,QSO,,,none,3,25856,main,dark,105.24893188476562,25.549617767333984,,,,,,,,,,,,,,
39627595469294827,1.6466,2.1173,3.5,GALAXY,QSO,CR,Broad absorption line quasar (BAL),none,2,25695,main,dark,122.68768310546875,29.37866973876953,,,,,,,,,,,,,,
39627595490266916,2.1204,2.1169,4.0,QSO,QSO,,,none,3,25864,main,dark,89.3080062866211,27.172517776489258,,,,,,,,,,,,,,
39627601479734550,2.1159,2.1163000000000003,4.0,QSO,QSO,,Some absorbers on the CIV broad line,none,3,25864,main,dark,88.80973052978516,27.97248077392578,,,,,,,,,,,,,,
39627601521676513,2.0952,2.0947666666666667,4.0,QSO,QSO,,,none,3,25860,main,dark,59.16575241088867,26.463939666748047,,,,,,,,,,,,,,
39627607314008539,2.0946,2.093033333333333,3.6666666666666665,QSO,QSO,,,none,3,25795,main,dark,76.18896484375,28.164363861083984,,,,,,,,,,,,,,
39627607502751392,2.0635,2.0635666666666665,4.0,QSO,QSO,,,none,3,25859,main,dark,117.50312805175781,33.83293914794922,,,,,,,,,,,,,,
39627607716659595,2.1004,2.0988,4.0,QSO,QSO,,,none,3,44996,main,dark,99.2576675415039,47.76924133300781,,,,,,,,,,,,,,
39627607716661225,2.0965,2.0945666666666667,3.6666666666666665,QSO,QSO,,secondary broad feature redder of MgII?,none,3,44996,main,dark,182.40988159179688,55.61553192138672,,,,,,,,,,,,,,
39627613018261790,2.1224,2.1222,4.0,QSO,QSO,,,none,3,25465,main,dark,103.5397720336914,31.56827163696289,,,,,,,,,,,,,,
39627613022453896,2.1086,2.1086,3.6666666666666665,QSO,QSO,,,none,3,25465,main,dark,58.037296295166016,25.284385681152344,,,,,,,,,,,,,,
39627613374775920,2.1135,2.1135,3.6666666666666665,QSO,QSO,,strange absorptions lines and mismatched MgII,None,3,25722,main,dark,96.39129638671875,34.207332611083984,,,,,,,,,,,,,,
39627613450273189,2.1103,2.1103,4.0,QSO,QSO,,,none,3,25717,main,dark,96.63715362548828,33.04368209838867,,,,,,,,,,,,,,
39627613450278173,2.1329,2.132033333333333,4.0,QSO,QSO,,Broad absorption line quasar (BAL),none,3,25717,main,dark,94.20121765136719,33.75396728515625,,,,,,,,,,,,,,
39627613710321418,2.1008,2.099066666666667,4.0,QSO,QSO,,,none,3,44998,main,dark,140.84312438964844,58.92413330078125,,,,,,,,,,,,,,
39627615094440428,1.6648,2.1048,3.333333333333333,GALAXY,QSO,RC,,None,3,49081,main,dark,75.83191680908203,33.07689666748047,,,,,,,,,,,,,,
39627615102837178,2.1257,2.1225,4.0,QSO,QSO,,,none,3,49078,main,dark,47.3367919921875,29.439348220825195,,,,,,,,,,,,,,
39627615165751216,2.0277,2.0677,4.0,QSO,QSO,,strange flux drops and missing flux measurement at r band Broad absorption line quasar (BAL),BALQSO,3,49096,main,dark,53.191158294677734,31.373329162597656,,,,,,,,,,,,,,
39627615169943747,2.1112,2.109166666666667,3.0,QSO,QSO,,,none,3,49097,main,dark,46.84193420410156,29.94377899169922,,,,,,,,,,,,,,
39627615182527019,0.6706,2.1606,4.0,GALAXY,QSO,RC,,None,3,49097,main,dark,44.59589767456055,28.070316314697266,,,,,,,,,,,,,,
39627615186717303,2.1051,2.099466666666667,4.0,QSO,QSO,R,,None,3,49097,main,dark,59.67076873779297,29.63888931274414,,,,,,,,,,,,,,
39627619024507536,2.0935,2.0923333333333334,4.0,QSO,QSO,,,none,3,25465,main,dark,102.0164566040039,27.322057723999023,,,,,,,,,,,,,,
39627619498460468,2.0609,2.0591000000000004,4.0,QSO,QSO,,,none,3,25865,main,dark,64.27320861816406,35.926727294921875,,,,,,,,,,,,,,
39627619502654968,2.1022,2.1153,4.0,QSO,QSO,R,Broad absorption line quasar (BAL),none,3,25868,main,dark,79.8085708618164,27.54302978515625,,,,,,,,,,,,,,
39627621096493785,2.1226,2.121233333333333,3.6666666666666665,QSO,QSO,,,none,3,49078,main,dark,81.12350463867188,34.59169387817383,,,,,,,,,,,,,,
39627621163605825,2.1698,2.1711,3.333333333333333,QSO,QSO,,,none,3,49099,main,dark,55.17512512207031,29.011545181274414,,,,,,,,,,,,,,
39627625018168593,2.101,2.101,4.0,QSO,QSO,,,none,3,25465,main,dark,100.56243133544922,27.133716583251953,,,,,,,,,,,,,,
39627625496316526,2.0584,2.0583,3.5,QSO,QSO,,,none,2,25868,main,dark,53.84431076049805,32.09025573730469,,,,,,,,,,,,,,
39627625571813432,2.1364,2.136,4.0,QSO,QSO,,LAE,None,3,44987,main,dark,28.761075973510742,21.57646369934082,,,,,,,,,,,,,,
39627625588590111,2.0911,2.089933333333333,4.0,QSO,QSO,,,none,3,44985,main,dark,56.56013107299805,29.36788558959961,,,,,,,,,,,,,,
39627625592787637,2.1014,2.1014,4.0,QSO,QSO,C,LAE,A rare narrow-line QSO,3,44988,main,dark,75.6766357421875,29.08144760131836,,,,,,,,,,,,,,
39627625685064270,2.113,2.113233333333333,4.0,QSO,QSO,,,none,3,45004,main,dark,139.73269653320312,63.711082458496094,,,,,,,,,,,,,,
39627627102739697,2.1358,2.1179,3.0,QSO,QSO,,,Difficult obtaining reliable redshift,3,49084,main,dark,70.80266571044922,31.830856323242188,,,,,,,,,,,,,,
39627627224371572,2.1366,2.1365,4.0,QSO,QSO,,,none,3,49093,main,dark,80.69001007080078,25.677326202392578,,,,,,,,,,,,,,
39627631032798856,2.0746,2.0812666666666666,4.0,QSO,QSO,,,none,3,25468,main,dark,110.12372589111328,30.979942321777344,,,,,,,,,,,,,,
39627631544501569,2.108,2.105866666666667,4.0,QSO,QSO,,,none,3,25863,main,dark,80.54816436767578,29.23293113708496,,,,,,,,,,,,,,
39627631661945034,2.0942,2.096133333333333,4.0,QSO,QSO,,,None,3,45002,main,dark,117.32461547851562,31.683399200439453,,,,,,,,,,,,,,
39627631720661631,2.0831,2.0833666666666666,4.0,QSO,QSO,,,none,3,44999,main,dark,191.06593322753906,63.26201629638672,,,,,,,,,,,,,,
39627633150922017,0.7387,2.1142,4.0,QSO,QSO,R,,None,2,49120,main,dark,60.74624252319336,31.427223205566406,,,,,,,,,,,,,,
39627633339663124,0.5152,2.0992333333333333,3.333333333333333,GALAXY,QSO,RC,,none,3,18976,main,dark,113.57137298583984,37.704933166503906,,,,,,,,,,,,,,
39627634556011093,1.2846,1.2846,1.0,GALAXY,GALAXY,,,No strong lines,2,17682,sv1,dark,627.9467163085938,193.04750061035156,,,,,,,,,,,,,,
39627634556011094,0.4087,1.3932,3.0,GALAXY,QSO,,,Three weak emission lines identified indicating a z=1.4 QSO,2,17682,sv1,dark,595.4502563476562,186.66525268554688,,,,,,,,,,,,,,
39627634556012263,1.5468,1.54685,4.0,QSO,QSO,,,none,2,17682,sv1,dark,624.8243408203125,192.75930786132812,,,,,,,,,,,,,,
39627634556014615,1.2844,1.3619,3.0,GALAXY,QSO,,,Several weak emission lines identified indicating a z=1.36 QSO,2,17682,sv1,dark,588.5065307617188,185.53826904296875,,,,,,,,,,,,,,
39627634556017139,0.4883,0.48825,1.5,QSO,QSO,C,,none,2,17680,sv1,dark,596.1858520507812,190.49356079101562,,,,,,,,,,,,,,
39627634556018800,0.6995,0.6995,3.5,GALAXY,GALAXY,,,none,2,17680,sv1,dark,496.6000671386719,172.5244598388672,284.0066666454077,0,7.376424102694841e-05,36.418824857534716,-6.1976089311006115,485,0.25599164,1.6235851000000001,7.368354300000001,0.10467312,0.6638721,3.0128665,0.033932372999999995,80605
39627634560205781,1.3501,1.3499,4.0,QSO,QSO,,,none,2,17680,sv1,dark,420.45184326171875,147.57582092285156,,,,,,,,,,,,,,
39627634560206174,0.8611,0.8611,3.5,GALAXY,GALAXY,,,none,2,17680,sv1,dark,600.19970703125,187.33761596679688,62.607385203242295,0,8.993816661333675e-05,36.49434733265997,-6.185283204733914,465,0.09811389,0.7655681,4.2286777,0.042523425,0.33180398,1.8327463,0.03580041,80605
39627634560209346,0.7606,0.7606,4.0,GALAXY,GALAXY,,,none,2,17680,sv1,dark,563.7611083984375,181.419189453125,,,,,,,,,,,,,,
39627634564399686,0.4315,0.4315,4.0,GALAXY,GALAXY,,,none,2,17680,sv1,dark,602.031494140625,186.39154052734375,,,,,,,,,,,,,,
39627634564404995,1.683,0.0005,4.0,GALAXY,STAR,CR,Two objects in spectrum,Very clear stellar spectrum,2,17681,sv1,dark,571.655029296875,180.42886352539062,,,,,,,,,,,,,,
39627634564406097,0.2733,0.2733,4.0,GALAXY,GALAXY,,,none,2,17681,sv1,dark,553.5789184570312,178.0131072998047,,,,,,,,,,,,,,
39627637387171025,2.0584,2.0551666666666666,4.0,QSO,QSO,,,none,3,25809,main,dark,72.89307403564453,33.49378204345703,,,,,,,,,,,,,,
39627637512995984,2.0594,2.0579,3.6666666666666665,QSO,QSO,,,none,3,25868,main,dark,52.26341247558594,31.62112045288086,,,,,,,,,,,,,,
39627639354297334,2.0638,2.063266666666667,4.0,QSO,QSO,,,none,3,18977,main,dark,118.01932525634766,36.1204833984375,,,,,,,,,,,,,,
39627640549675570,1.6869,1.2082,2.0,GALAXY,GALAXY,S,B flux is weird and two or more objects in spectrum,One weak emission feature and some potential absorption features but not confident. Blue arm flux goes below zero.,2,17682,sv1,dark,162.00502014160156,117.74591064453125,,,,,,,,,,,,,,
39627640549679486,1.0763,1.0759,1.5,GALAXY,GALAXY,,,none,2,17682,sv1,dark,248.18780517578125,159.94808959960938,,,,,,,,,,,,,,
39627640553865796,0.8093,0.8093,4.0,GALAXY,GALAXY,,,none,2,17682,sv1,dark,275.20709228515625,169.57203674316406,269.923546471633,0,9.044162201236788e-05,35.66290745828426,-5.880878956909642,668,0.1265744,0.94590825,4.9317775,0.08058815,0.6022466,3.1399939999999997,0.026003988,80605
39627640553867214,1.7879,1.78695,4.0,QSO,QSO,,,none,2,17682,sv1,dark,225.43043518066406,149.64776611328125,,,,,,,,,,,,,,
39627640553868657,1.216,1.216,4.0,GALAXY,GALAXY,,,none,2,17682,sv1,dark,277.5736999511719,167.92910766601562,,,,,,,,,,,,,,
39627640553868845,0.732,0.732,4.0,GALAXY,QSO,C,Mg II suggests QSO,none,2,17682,sv1,dark,266.96337890625,165.86888122558594,,,,,,,,,,,,,,
39627640553870170,0.8689,0.8689,3.5,GALAXY,GALAXY,,,none,2,17682,sv1,dark,251.6017608642578,157.77682495117188,198.8938095420599,0,9.227538879606779e-05,35.782377711067724,-6.001593784632566,516,0.37326170000000003,1.4039549,7.617619,0.1551724,0.58365226,3.1667973999999997,0.027317401,80605
39627640553870763,0.6528,0.6871,3.0,QSO,QSO,S,Two objects in spectrum including a star and misfit to Mg II affects z,This looks to be a blue QSO with a bright red star (as can be seen from the imaging): two objects,2,17682,sv1,dark,226.3604278564453,153.17408752441406,,,,,,,,,,,,,,
39627640553871532,0.6196,0.61965,3.0,GALAXY,GALAXY,,Two or three objects in spectrum,none,2,17682,sv1,dark,262.17816162109375,166.4091796875,,,,,,,,,,,,,,
